Time, s;x;y;z
44.1;2914.9255;816.5106;451.7485
44.2;2921.26;816.1583;453.39856
44.3;2927.5986;815.8017;455.0513
44.4;2933.9414;815.441;456.7068
44.5;2940.2883;815.07623;458.36502
44.6;2946.6392;814.7076;460.026
44.7;2952.9944;814.33527;461.68976
44.8;2959.354;813.95935;463.3563
44.9;2965.7178;813.5801;465.02563
45,00;2972.0862;813.1975;466.6978
45.1;2978.4592;812.8119;468.3728
45.2;2984.8367;812.42334;470.05066
45.3;2991.2188;812.032;471.73135
45.4;2997.6055;811.6381;473.41492
45.5;3003.9968;811.24176;475.10138
45.6;3010.393;810.84314;476.79074
45.7;3016.7942;810.4424;478.483
45.8;3023.2002;810.03973;480.17816
45.9;3029.611;809.6354;481.87625
46,00;3036.0269;809.2294;483.57727
46.1;3042.4478;808.822;485.28122
46.2;3048.8738;808.4134;486.98813
46.3;3055.3047;808.00366;488.698
46.4;3061.7407;807.59314;490.41083
46.5;3068.1816;807.1819;492.12662
46.6;3074.6282;806.7701;493.8454
46.7;3081.0796;806.358;495.56714
46.8;3087.5361;805.9457;497.29184
46.9;3093.998;805.53345;499.01956
47,00;3100.465;805.1214;500.75024
47.1;3106.9375;804.7097;502.48392
47.2;3113.415;804.29865;504.22058
47.3;3119.898;803.88824;505.96024
47.4;3126.386;803.4788;507.70288
47.5;3132.8794;803.07056;509.4485
47.6;3139.3782;802.6636;511.1971
47.7;3145.882;802.25806;512.94867
47.8;3152.391;801.8542;514.70325
47.9;3158.9058;801.4522;516.4608
48,00;3165.4253;801.05225;518.2213
48.1;3171.9502;800.6545;519.9848
48.2;3178.4805;800.25916;521.7512
48.3;3185.0156;799.8664;523.5206
48.4;3191.5562;799.4764;525.2929
48.5;3198.1018;799.0893;527.0682
48.6;3204.6526;798.7054;528.8464
48.7;3211.2085;798.3247;530.6275
48.8;3217.7695;797.9476;532.4115
48.9;3224.3354;797.57404;534.19836
49,00;3230.9062;797.20435;535.98816
49.1;3237.4822;796.8387;537.78076
49.2;3244.0632;796.4772;539.5763
49.3;3250.649;796.12;541.37463
49.4;3257.2395;795.7674;543.1758
49.5;3263.8347;795.41943;544.97974
49.6;3270.4348;795.07635;546.7865
49.7;3277.0396;794.7383;548.596
49.8;3283.649;794.4054;550.4083
49.9;3290.2627;794.0779;552.2233
50,00;3296.881;793.75586;554.0411
50.1;3303.504;793.4395;555.8615
